Variables,type,minimum lifespan,lifespan expendability,cost,cost derivative: price class,assembly time,people needed for assembly,temperature,temperature,amount per truck,package size,package weight,amount of persons,length,width,area,centre height,ideal surface,local resources needed,,Link with extensive info
Twin elevated shelter,transitional,4,,658,,16,3,5,45,,,,10,"6,7","5,5",36,"3,1",,,two family units,unhcr shelter design catalogue 2023
"Bamboo frame shelter, indonesia West Java 2009",Transitional,1,4,250,low,16-20,3-4,???,???,???,???,???,,6,4,24,4,,"bamboo, natural matting",not recommended in active seismic areas,IFRC transitional shelters eight designs
"Timber frame shelter, indonesia Sumatra Padang 2009",Transitional,1,1,220,low,16,5,???,???,???,???,???,,"4,5",4,18,"3,35",,"timber, natural matting",,
"Timber frame shelter, Pakistan 2010",Transitional,1,,475,low,8,4,???,???,???,???,???,,"5,7","4,3",22,"2,74",,timber,,
"Timber frame shelter, Peru 2007",Transitional,2,,530,,8,4,???,???,???,???,???,,6,3,18,"2,4",,timber,,
"Timber frame shelter, Peru 2007 (2)",Transitional,1,,213,low,16,4,???,???,???,???,???,,6,3,18,2,,"poles, bamboo matting",,
"Steel frame shelter, Haiti 2010",Transitional,2,,1616,high,16,???,???,???,???,???,???,,6,3,18,3,,timber,,
"steel frame shelter, Indonesia aceh 2005",Transitional,5,,4530,high,28,4-5,???,???,???,???,???,,"5,6","3,6",20,"4,15",,,suitable for high seismic risk/loading,
"steel frame shelter, Vietnam 2004",Transitional,5,,??? <1000,,24,6,???,???,???,???,???,,"7,2","3,6",25,"4,6",,"concrete blocks, plywood",,
"one-room shelter, pakistan 2010",Core,10,10,1360,high,???,,,,,,,,"4,8","3,9","18,7","2,5",,"brick, tile roof, steel framing",,
"Core shelter, Sri Lanka 2007",Core,,,630,,30,2-3,,,,,,,"3,5","2,8",10,"2,5",,"timber, brick",,
